@relation TrainSet.arff

@attribute File_Name {'01-anarchy_in_the_uk.mp3       ','01-angel_of_death.mp3       ','01-back_to_the_primitive.mp3       ','01-born_on_the_cusp.mp3       ','01-cold_cash_and_cold_hearts.mp3       ','01-first_strike_is_deadly.mp3       ','01-one_time.mp3       ','01-optimist_or_pessimist.mp3       ','01-plastic_bomb.mp3       ','01-the_bee_and_the_cracking_egg.mp3       ','01-the_seven_tongues_of_god.mp3       ','01-true_nature.mp3       ','01-what_tomorrow_knows.mp3       ','02-beyond_within.mp3       ','02-bitches.mp3       ','02-every_morning.mp3       ','02-it_s_alright_baby.mp3       ','02-let_s_groove.mp3       ','02-mmmbop.mp3       ','02-my_oh_my.mp3       ','02-new_life.mp3       ','02-she_s_so_high.mp3       ','02-soak_up_the_sun.mp3       ','02-the_rainbow.mp3       ','02-walkie_talkie_man.mp3       ','01-open_the_gate.mp3       ','01-penny_+_me.mp3       ','01-so_long_astoria.mp3       ','01-you_re_the_only_one.mp3       ','02-a.m._180.mp3       ','01-a_way_of_life.mp3       ','01-angel_eyes.mp3       ','01-ballad_for_the_unborn.mp3       ','01-birth_school_dole_angst.mp3       ','01-dawn.mp3       ','01-everyday.mp3       ','01-homesick.mp3       ','01-in_the_bath.mp3       ','01-invitations.mp3       ','01-love_you.mp3       ','01-mississippi_half-step_uptown_too.mp3       ','01-moonshine.mp3       ','01-pink_moon.mp3       ','01-playground_love.mp3       ','01-sayhueque.mp3       ','01-deep_water.mp3       ','01-footlights.mp3       ','01-lightning_risked_it_all.mp3       ','01-old_friends_bookends.mp3       ','01-punk_rock.mp3       ','01-round_here.mp3       ','01-stardust.mp3       ','01-the_long_and_winding_road.mp3       ','01-will_my_soul_ever_rest_in_peace.mp3       ','02-autumn_lightness.mp3       ','02-brand_new_love.mp3       ','02-desert_sunrise.mp3       ','02-every_grain_of_sand.mp3       ','02-it_sure_can_get_cold_in_des_moin.mp3       ','02-on_saturday_afternoons_in_1963.mp3       '}
@attribute Em numeric
@attribute Ed numeric
@attribute El numeric
@attribute LEm numeric
@attribute ATm numeric
@attribute Asm numeric
@attribute ASd numeric
@attribute EDm numeric
@attribute FPm numeric
@attribute FMm numeric
@attribute FCm numeric
@attribute Tm numeric
@attribute Td numeric
@attribute PCm numeric
@attribute PCd numeric
@attribute Pm numeric
@attribute Pd numeric
@attribute Cm numeric
@attribute Cd numeric
@attribute Cl numeric
@attribute Chh numeric
@attribute KCm numeric
@attribute KCd numeric
@attribute Mm numeric
@attribute Md numeric
@attribute Hm numeric
@attribute ESm numeric
@attribute Rm numeric
@attribute Im numeric
@attribute Id numeric
@attribute Bm numeric
@attribute Bd numeric
@attribute SCm numeric
@attribute SCd numeric
@attribute Zm numeric
@attribute Zd numeric
@attribute Sm numeric
@attribute Km numeric
@attribute SEm numeric
@attribute SEd numeric
@attribute SFm numeric
@attribute Fm numeric
@attribute REm numeric
@attribute REd numeric
@attribute M1m numeric
@attribute D1m numeric
@attribute M2m numeric
@attribute D2m numeric
@attribute M3m numeric
@attribute D3m numeric
@attribute M4m numeric
@attribute D4m numeric
@attribute M5m numeric
@attribute D5m numeric
@attribute M6m numeric
@attribute D6m numeric
@attribute M7m numeric
@attribute D7m numeric
@attribute RSm numeric
@attribute RSd numeric
@attribute RRm numeric
@attribute RRd numeric
@attribute RTm numeric
@attribute RTd numeric
@attribute RGm numeric
@attribute RGd numeric
@attribute class {aggressive,happy,relaxed,sad}

@data
'01-anarchy_in_the_uk.mp3       ',0.228523,0.005756,0.003345,0.563593,0.057984,3457376.947287,2521367.819934,5.243943,866,2565.374571,4.762277,126.71817,19.666472,0.397315,0.106398,408.412788,442.996199,0,0.32355,0.166496,-41018569886.537464,0.420444,0.130082,-0.017369,0.107559,0.34539,0.905387,3619.495074,?,?,0.94047,0.034812,3396.545704,439.655042,2328.285004,851.761783,0.508033,89454671649.082688,0.812774,0.02361,172.473362,0.051199,0.664844,0.337087,-0.146897,-0.000118,0.833008,0.000351,0.9217,-0.000133,0.022229,0.000397,0.376699,-0.000076,0.022692,0.000075,0.232818,-0.000118,43.800431,21.912391,55.806736,57.279056,41.248632,21.913723,43.028042,22.84761,aggressive
'01-angel_of_death.mp3       ',0.231866,0.007204,0.005113,0.529508,0.049326,6534186.163342,3843431.083891,7.434451,1345,3367.889134,4.930499,108.108581,1.681632,0.518697,0.104838,520.155022,428.846572,0,0.315773,0.123521,-32972150328.254448,0.415858,0.139823,-0.022049,0.100651,0.309975,0.930247,3964.756518,?,?,0.923775,0.045507,3959.979599,634.371768,2520.687655,727.266019,0.642009,215853058042.06064,0.86045,0.025233,212.477016,0.100474,0.363805,0.197516,0.584335,0.000389,0.262653,-0.000713,0.986105,-0.000706,-0.023722,-0.000168,0.068411,-0.000416,0.05625,0.000221,0.129234,0.000176,28.242499,12.775416,15.886451,13.327719,36.544511,13.637614,36.336147,13.062584,aggressive
'01-back_to_the_primitive.mp3       ',0.332185,0.006607,0.00447,0.493776,0.048627,7084041.514192,3847329.669932,7.334882,1403,3417.22396,4.968372,129.990704,20.935455,0.547348,0.042528,285.804771,398.324879,0,0.145033,0.150764,-18992318721.56888,0.464818,0.149504,-0.060122,0.098119,0.27892,0.870816,3033.68195,?,?,0.800001,0.062942,1995.62037,351.643831,717.191384,289.136615,0.55205,200029541173.711136,0.740376,0.034017,213.934192,0.079447,0.607757,0.343329,1.204622,0.000237,-0.219528,-0.000071,1.160033,0.000292,-0.130961,0.000048,0.356172,0.000437,0.228271,-0.00019,0.326001,-0.00041,48.627341,27.925648,55.329468,45.52286,41.719539,19.529773,43.087762,20.105442,aggressive
'01-born_on_the_cusp.mp3       ',0.34716,0.008825,0.004168,0.528738,0.058384,6538634.242346,4441305.059826,4.825737,627,2225.553866,4.748791,133.989811,39.10668,0.24511,0.086794,705.423735,305.687307,0,0.335319,0.197671,-21644174014.866148,0.436574,0.144302,0.054788,0.110884,0.324216,0.913961,5725.562558,?,?,0.922148,0.04484,3161.509156,523.844377,1589.657191,497.833599,0.536702,432116535536.992128,0.832485,0.024632,285.776047,0.136575,0.49149,0.242739,1.646384,0.000026,-0.028157,-0.000626,0.375822,-0.0009,-0.028648,-0.000401,0.148115,-0.000063,-0.041656,0.000448,0.12465,0.000496,39.098973,16.653536,22.60641,13.184925,43.17858,13.889276,52.134777,17.766253,aggressive
'01-cold_cash_and_cold_hearts.mp3       ',0.307836,0.009545,0.006795,0.624839,0.0676,10569262.795409,10348898.017341,3.910991,1214,4333.999027,4.689145,161.653965,37.93078,0.391863,0.192838,566.207406,415.206152,0,0.202938,0.171353,-23762012959.717396,0.515598,0.139257,-0.033408,0.113986,0.338089,0.914913,2736.176621,?,?,0.881098,0.070154,3198.373699,780.138255,1553.187553,652.208511,0.626537,257276011108.644224,0.816708,0.044646,225.15591,0.146913,0.596109,0.25087,1.131027,-0.000597,-0.236746,0.000121,0.685641,-0.000587,-0.023808,-0.00005,0.172296,0.000238,0.044588,0.000188,0.129557,-0.000238,70.602915,55.540702,84.173088,74.933277,89.99585,69.841522,91.929329,66.362908,aggressive
'01-first_strike_is_deadly.mp3       ',0.198574,0.00709,0.004031,0.527515,0.057188,4143648.986171,2380878.261016,6.056435,1305,4665.264085,4.900928,135.615041,39.976228,0.555745,0.118372,704.407168,461.333206,0,0.33939,0.134629,-35925562697.170516,0.465218,0.155747,0.006022,0.106647,0.346819,0.924246,2297.529902,?,?,0.924728,0.035307,3748.191624,600.387903,2096.841202,667.788559,0.725844,157503722609.78992,0.851149,0.024253,169.391048,0.130399,0.491918,0.255541,0.824865,0.001469,-0.176125,-0.000286,0.659484,0.000035,-0.06974,-0.000692,0.259215,-0.000561,0.253407,-0.000604,0.221975,-0.000078,33.344162,11.380713,22.202575,13.802627,44.035821,17.636723,44.973613,15.194031,aggressive
'01-one_time.mp3       ',0.279084,0.007395,0.004825,0.512011,0.050123,6773565.890168,5893104.335849,4.937044,1232,8262.797811,4.849286,123.482031,34.872192,0.498239,0.037346,508.794333,360.999611,0,0.321761,0.332682,-27170437399.930864,0.597511,0.156421,-0.043669,0.126629,0.314109,0.908402,3027.663334,?,?,0.903428,0.046222,3102.320998,757.015292,1494.380165,517.019185,0.670673,253022058408.194208,0.810611,0.035194,207.128074,0.115925,0.508321,0.247248,1.919282,0.000672,-0.200611,-0.00111,0.827336,-0.000173,0.150651,0.000161,0.015269,0.000488,-0.025702,0.000392,0.077129,0.001226,57.666762,28.515872,44.958477,34.158689,66.548772,40.488418,76.089458,42.488051,aggressive
'01-optimist_or_pessimist.mp3       ',0.215439,0.005127,0.003655,0.554739,0.049793,3817898.819529,2610584.553979,5.898123,943,7428.509838,4.813459,139.264868,24.186518,0.530469,0.08468,461.223597,447.708073,0,0.338622,0.141619,-37768530945.252752,0.447994,0.152805,-0.008705,0.101005,0.390491,0.921623,2037.098263,?,?,0.901819,0.044189,3848.140509,633.988629,1801.479933,546.935686,0.782762,150084521857.70096,0.846311,0.027592,173.886027,0.100674,0.471678,0.245344,0.773632,-0.000451,0.03871,0.00074,0.753359,-0.000053,0.204004,0.00084,0.211682,-0.000209,0.050774,-0.000543,0.214283,-0.000344,32.420441,12.289871,19.468146,10.939008,36.906376,14.868337,38.285625,12.556038,aggressive
'01-plastic_bomb.mp3       ',0.175718,0.005626,0.003637,0.530496,0.048423,3593601.896743,2121069.030431,6.780799,548,2798.810661,4.68967,149.313753,36.235438,0.603034,0.141064,619.87786,440.437338,0,0.253437,0.157863,-33401417518.531976,0.529634,0.15117,-0.059016,0.124503,0.277761,0.909612,1784.969262,?,?,0.905895,0.062107,3290.680982,911.626501,1934.237856,723.760296,0.777421,121095534637.0796,0.828789,0.04434,147.895768,0.085105,0.523041,0.274941,0.627137,-0.000614,-0.316643,-0.000107,0.863466,-0.000311,-0.127317,-0.000078,0.116566,0.000811,0.138361,0.000352,0.093848,-0.000598,44.294934,32.245125,46.206573,43.474034,64.23846,44.461178,63.006797,48.266299,aggressive
'01-the_bee_and_the_cracking_egg.mp3       ',0.279263,0.005844,0.002931,0.516126,0.055209,3811320.515904,2362300.016011,6.132708,665,2027.664025,4.72295,138.667833,28.608777,0.297179,0.080017,582.979366,426.878932,0,0.315844,0.262006,-27091550072.183928,0.471299,0.12961,-0.004206,0.099026,0.274549,0.891414,3519.864449,?,?,0.942724,0.025825,2459.521842,426.390077,1164.498328,293.439278,0.592393,295604381790.848,0.793756,0.02375,208.585788,0.076343,0.525343,0.234511,2.32807,0.000948,-0.021944,-0.000153,0.149301,-0.000268,0.10295,0.000354,0.479126,0.000413,-0.054489,0.000664,0.087653,0.000506,54.668072,23.743508,32.627848,20.962533,59.233491,30.581718,66.533004,29.476671,aggressive
